tracy,Траси
rex,рекс
barney,барни
gossip,слух
humble,скромный
economy,экономика
worlds,мир
impress,впечатление
clara,Клара
tissue,ткань
threaten,угрожать
et,эт
bump,удар
supreme,Верховный
bingo,бинго
mitchell,Митчелл
excitement,возбуждение
mankind,человечество
document,документ
broad,широкий
vietnam,Вьетнам
vessel,судно
lit,зажечь
dale,дол
killers,убийцы
connor,Коннор
mario,марио
foul,грязный
stare,глазеть
deaths,летальные исходы
hut,хижина
elements,элементы
coma,кова
laying,укладка
coffin,гроб
paula,Paula
cocaine,кокаин
puppy,щенок
louder,громкий
handled,обрабатывается
announcement,объявление
oath,клятва
mob,моб
cotton,хлопок
deposit,депозит
taxes,налоги
injuries,травмы
jen,Джен
autopsy,вскрытие
advise,советовать
gig,Гиг
lecture,лекция
posted,Опубликовано
skinny,тощий
lo,воплощение
include,включают
revealed,раскрытый
infected,зараженный
relieved,с облегчением
assistance,содействие
solo,соло
determine,определять
terrorists,террористы
elsewhere,в другом месте
lamp,напольная лампа
practical,практично
marked,отмечен
adorable,восхитительный
rubber,резина
purple,фиолетовый
operating,работа
suite,союзник
apologies,извинения
personnel,персонал
beam,луч
poet,поэт
samples,образцы
arrow,стрелка
counselor,консультант
